iter	Logloss
0	0.687474802
1	0.6821743844
2	0.6775175082
3	0.6734855004
4	0.6692440812
5	0.6653314564
6	0.6618827572
7	0.6584436833
8	0.6553230333
9	0.6525911516
10	0.650234976
11	0.647709468
12	0.6454281473
13	0.6431206928
14	0.6405956345
15	0.6384679867
16	0.6360938758
17	0.6337617257
18	0.6316444665
19	0.6300172005
20	0.6280587405
21	0.6263302435
22	0.6244574813
23	0.622765562
24	0.6210271594
25	0.6192081689
26	0.6176405116
27	0.616060106
28	0.6144017694
29	0.6128047189
30	0.6111106358
31	0.6095160214
32	0.6079580859
33	0.6065582185
34	0.6052581634
35	0.6041507695
36	0.6027233862
37	0.6016079433
38	0.6003929981
39	0.5991857991
40	0.5980424522
41	0.5970164244
42	0.5959231024
43	0.5948998142
44	0.593841051
45	0.5928181367
46	0.591907984
47	0.5908699275
48	0.589932739
49	0.5888116786
50	0.5877029633
51	0.5866180843
52	0.5856980477
53	0.5847139251
54	0.5839602631
55	0.5830221369
56	0.5822523117
57	0.5813238416
58	0.5806339855
59	0.5798524086
60	0.5788950092
61	0.5780227069
62	0.5771021908
63	0.5762459893
64	0.5753541882
65	0.5743865861
66	0.5737247887
67	0.5729164111
68	0.5719926844
69	0.5713315373
70	0.5705451487
71	0.5698031463
72	0.5691663967
73	0.5683795662
74	0.5676074797
75	0.5668369631
76	0.5660924654
77	0.5654143476
78	0.5646906706
79	0.5639669008
80	0.5632643845
81	0.5625868608
82	0.5617652492
83	0.5610923357
84	0.560440446
85	0.5597273682
86	0.559024728
87	0.5583773852
88	0.5577152988
89	0.5570831366
90	0.5565364197
91	0.5559841632
92	0.5553701479
93	0.5548240528
94	0.5541896531
95	0.5536079031
96	0.5529873253
97	0.5523756803
98	0.5517852567
99	0.5511128903
100	0.5506225339
101	0.55003314
102	0.5493966329
103	0.5488728037
104	0.5483289497
105	0.5476657959
106	0.5470400588
107	0.5465126081
108	0.5459344334
109	0.545353432
110	0.5447210215
111	0.5441671766
112	0.5436571633
113	0.5430325345
114	0.5423863572
115	0.5419168424
116	0.5413815257
117	0.5407180177
118	0.5401336945
119	0.5395995506
120	0.5390275229
121	0.5385175302
122	0.5380337604
123	0.537537752
124	0.5369670428
125	0.5364818075
126	0.5361151219
127	0.5356353783
128	0.5351153857
129	0.5345217961
130	0.5340231882
131	0.5333715046
132	0.5329289605
133	0.532376433
134	0.5318644082
135	0.5313241092
136	0.5308143101
137	0.5304312313
138	0.5300309711
139	0.5296251136
140	0.5291815538
141	0.5286809629
142	0.5283458095
143	0.5279081493
144	0.5274269749
145	0.5269225759
146	0.5265188672
147	0.5260502518
148	0.5255490642
149	0.5250467364
150	0.5246871051
151	0.5242272614
152	0.5239104705
153	0.523445803
154	0.5229796528
155	0.5223936578
156	0.5218452076
157	0.5214399636
158	0.520944776
159	0.5205720204
160	0.5200939754
161	0.519509402
162	0.5191232376
163	0.5187157808
164	0.5182827947
165	0.5178149422
166	0.5174360771
167	0.5169525872
168	0.5165262102
169	0.5161264104
170	0.5156965487
171	0.5152058813
172	0.5147473739
173	0.5142647297
174	0.5138944589
175	0.5135481875
176	0.5130778707
177	0.5127395254
178	0.5123088123
179	0.5118976605
180	0.5114710621
181	0.5110807367
182	0.5106758436
183	0.5101869356
184	0.5097575662
185	0.5093409601
186	0.5088652174
187	0.5084340049
188	0.5079732971
189	0.5074676658
190	0.5070515679
191	0.5066512985
192	0.5062671234
193	0.5058435166
194	0.5054194048
195	0.5050135012
196	0.5045902957
197	0.5042284233
198	0.5037929951
199	0.5034007277
200	0.5030102038
201	0.5026776753
202	0.5022123216
203	0.501750888
204	0.5013112128
205	0.5009121509
206	0.5004840816
207	0.5001054978
208	0.4996421833
209	0.499238603
210	0.4987501142
211	0.4983263474
212	0.4979174441
213	0.4975379344
214	0.4970593429
215	0.4965305249
216	0.4959999115
217	0.4955321306
218	0.4951187318
219	0.4946206373
220	0.4941295298
221	0.4936558108
222	0.4932108356
223	0.4927614591
224	0.4922365751
225	0.4917293738
226	0.4913106412
227	0.4908470036
228	0.490422538
229	0.4899700646
230	0.4895305793
231	0.4891606172
232	0.4886876649
233	0.4881745845
234	0.4877340756
235	0.4873326777
236	0.4868966678
237	0.4864598261
238	0.4860108459
239	0.4855921074
240	0.4850993383
241	0.4846855168
242	0.4842501279
243	0.4837666175
244	0.4833081417
245	0.4828504359
246	0.4824048658
247	0.4820064364
248	0.4816028033
249	0.4811963142
250	0.4808036432
251	0.480356219
252	0.4799152286
253	0.4794686616
254	0.4790651104
255	0.4786396118
256	0.4782091916
257	0.4777933304
258	0.4773604818
259	0.4769454507
260	0.476498131
261	0.4760540389
262	0.4756035999
263	0.4751833785
264	0.4748032196
265	0.4743624758
266	0.473972807
267	0.4735076389
268	0.4730399389
269	0.4726094825
270	0.4721268779
271	0.4717110417
272	0.4713069392
273	0.4708947323
274	0.4703851805
275	0.4699366801
276	0.4695226229
277	0.4691095648
278	0.4686760216
279	0.4682719975
280	0.4678516587
281	0.4674265942
282	0.467012788
283	0.4665938764
284	0.4661945305
285	0.4657496562
286	0.4653526899
287	0.464981846
288	0.4645960808
289	0.4641766896
290	0.4637826513
291	0.4633762805
292	0.4629882759
293	0.4625260918
294	0.4621464011
295	0.4617690083
296	0.4613944619
297	0.4609356785
298	0.4605675145
299	0.4600999809
