iter	Passed	Remaining
0	102	30611
1	191	28530
2	279	27697
3	367	27211
4	460	27154
5	552	27063
6	643	26922
7	731	26693
8	823	26635
9	916	26576
10	1000	26276
11	1084	26033
12	1176	25973
13	1263	25820
14	1353	25713
15	1440	25572
16	1527	25421
17	1612	25261
18	1698	25116
19	1782	24956
20	1868	24823
21	1959	24755
22	2049	24678
23	2137	24586
24	2221	24433
25	2307	24322
26	2398	24247
27	2486	24154
28	2585	24165
29	2712	24416
30	2843	24672
31	2959	24784
32	3078	24908
33	3195	25003
34	3327	25192
35	3423	25104
36	3512	24969
37	3606	24866
38	3694	24724
39	3783	24591
40	3870	24449
41	3956	24303
42	4044	24172
43	4134	24052
44	4219	23912
45	4306	23781
46	4401	23695
47	4492	23588
48	4591	23520
49	4689	23449
50	4778	23332
51	4879	23270
52	4973	23180
53	5069	23095
54	5170	23032
55	5256	22903
56	5347	22798
57	5446	22725
58	5532	22598
59	5646	22587
60	5741	22496
61	5830	22380
62	5923	22282
63	6004	22143
64	6085	22000
65	6170	21876
66	6255	21753
67	6341	21634
68	6425	21511
69	6504	21373
70	6585	21242
71	6668	21117
72	6753	21000
73	6839	20889
74	6927	20781
75	7015	20675
76	7102	20570
77	7188	20460
78	7268	20332
79	7350	20213
80	7430	20090
81	7519	19991
82	7618	19917
83	7706	19817
84	7798	19724
85	7889	19631
86	7982	19543
87	8069	19440
88	8153	19330
89	8237	19220
90	8342	19160
91	8436	19073
92	8523	18971
93	8611	18871
94	8699	18771
95	8784	18666
96	8874	18571
97	8961	18472
98	9048	18370
99	9134	18269
100	9220	18167
101	9308	18068
102	9401	17980
103	9488	17882
104	9572	17777
105	9657	17675
106	9742	17573
107	9834	17483
108	9931	17402
109	10027	17320
110	10118	17229
111	10209	17137
112	10306	17056
113	10400	16969
114	10492	16878
115	10587	16793
116	10678	16702
117	10762	16599
118	10845	16495
119	10933	16400
120	11018	16299
121	11108	16206
122	11195	16110
123	11283	16015
124	11365	15911
125	11447	15808
126	11530	15706
127	11613	15605
128	11700	15510
129	11789	15417
130	11879	15326
131	11970	15234
132	12060	15144
133	12147	15048
134	12232	14950
135	12319	14856
136	12404	14758
137	12488	14659
138	12576	14567
139	12663	14472
140	12754	14382
141	12839	14286
142	12924	14189
143	13009	14094
144	13101	14004
145	13192	13915
146	13281	13823
147	13374	13736
148	13463	13643
149	13560	13560
150	13653	13472
151	13745	13383
152	13832	13290
153	13926	13203
154	14011	13107
155	14100	13015
156	14190	12925
157	14282	12836
158	14369	12742
159	14456	12649
160	14539	12553
161	14625	12458
162	14712	12366
163	14799	12272
164	14888	12181
165	14975	12088
166	15068	12000
167	15154	11907
168	15244	11816
169	15331	11723
170	15416	11629
171	15510	11542
172	15598	11450
173	15692	11363
174	15775	11267
175	15856	11171
176	15941	11077
177	16025	10983
178	16114	10892
179	16197	10798
180	16278	10702
181	16362	10608
182	16455	10521
183	16549	10433
184	16635	10341
185	16721	10248
186	16804	10154
187	16894	10064
188	16985	9975
189	17071	9883
190	17155	9790
191	17236	9695
192	17323	9604
193	17412	9513
194	17506	9426
195	17600	9338
196	17691	9250
197	17778	9158
198	17863	9066
199	17951	8975
200	18038	8884
201	18124	8793
202	18214	8703
203	18303	8613
204	18387	8521
205	18476	8430
206	18562	8339
207	18650	8249
208	18739	8159
209	18825	8068
210	18913	7977
211	19006	7889
212	19096	7799
213	19179	7707
214	19265	7616
215	19349	7524
216	19436	7434
217	19526	7344
218	19611	7253
219	19694	7161
220	19783	7071
221	19870	6981
222	19956	6890
223	20040	6799
224	20128	6709
225	20217	6619
226	20304	6529
227	20395	6440
228	20482	6350
229	20575	6262
230	20671	6174
231	20759	6084
232	20851	5995
233	20947	5908
234	21041	5820
235	21126	5729
236	21217	5640
237	21304	5549
238	21390	5459
239	21480	5370
240	21570	5280
241	21682	5196
242	21787	5110
243	21906	5027
244	22039	4947
245	22163	4865
246	22278	4780
247	22386	4693
248	22472	4602
249	22574	4514
250	22665	4424
251	22759	4335
252	22850	4244
253	22943	4155
254	23028	4063
255	23123	3974
256	23207	3882
257	23295	3792
258	23387	3702
259	23472	3611
260	23566	3521
261	23657	3431
262	23741	3340
263	23828	3249
264	23914	3158
265	24001	3067
266	24090	2977
267	24177	2886
268	24261	2795
269	24351	2705
270	24448	2616
271	24534	2525
272	24661	2439
273	24748	2348
274	24837	2257
275	24927	2167
276	25015	2077
277	25103	1986
278	25192	1896
279	25277	1805
280	25368	1715
281	25453	1624
282	25542	1534
283	25630	1443
284	25712	1353
285	25798	1262
286	25882	1172
287	25965	1081
288	26048	991
289	26132	901
290	26219	810
291	26315	720
292	26411	630
293	26510	541
294	26612	451
295	26708	360
296	26801	270
297	26896	180
298	26984	90
299	27072	0
